data;prodotto;prezzo;tax;netto;inc_tax;nation
01/12/2004;Diesel;1,013;0,572;0,441;0,56;ita
01/01/2005;Benzina;1,098;0,741;0,356;0,67;ita
01/01/2005;Diesel;1,008;0,571;0,437;0,56;ita
01/02/2005;Benzina;1,135;0,748;0,387;0,65;ita
01/02/2005;Diesel;1,022;0,574;0,448;0,56;ita
01/03/2005;Benzina;1,17;0,759;0,411;0,64;ita
01/03/2005;Diesel;1,057;0,589;0,468;0,55;ita
01/04/2005;Benzina;1,219;0,767;0,452;0,62;ita
01/04/2005;Diesel;1,106;0,597;0,508;0,53;ita
01/05/2005;Benzina;1,208;0,765;0,443;0,63;ita
01/05/2005;Diesel;1,07;0,591;0,479;0,55;ita
01/06/2005;Benzina;1,209;0,765;0,443;0,63;ita
01/06/2005;Diesel;1,09;0,594;0,495;0,54;ita
01/07/2005;Benzina;1,244;0,771;0,473;0,61;ita
01/07/2005;Diesel;1,131;0,601;0,529;0,53;ita
01/08/2005;Benzina;1,255;0,773;0,482;0,61;ita
01/08/2005;Diesel;1,14;0,603;0,537;0,52;ita
01/09/2005;Benzina;1,303;0,781;0,522;0,59;ita
01/09/2005;Diesel;1,182;0,61;0,572;0,51;ita
01/10/2005;Benzina;1,321;0,784;0,537;0,59;ita
01/10/2005;Diesel;1,211;0,614;0,596;0,5;ita
01/11/2005;Benzina;1,243;0,771;0,472;0,62;ita
01/11/2005;Diesel;1,144;0,603;0,54;0,52;ita
01/12/2005;Benzina;1,22;0,767;0,452;0,62;ita
01/12/2005;Diesel;1,119;0,599;0,519;0,53;ita
01/01/2006;Benzina;1,248;0,772;0,476;0,61;ita
01/01/2006;Diesel;1,146;0,604;0,542;0,52;ita
01/02/2006;Benzina;1,248;0,772;0,476;0,61;ita
01/02/2006;Diesel;1,15;0,604;0,546;0,52;ita
01/03/2006;Benzina;1,253;0,772;0,48;0,61;ita
01/03/2006;Diesel;1,163;0,606;0,556;0,52;ita
01/04/2006;Benzina;1,298;0,78;0,518;0,6;ita
01/04/2006;Diesel;1,178;0,609;0,569;0,51;ita
01/05/2006;Benzina;1,341;0,787;0,553;0,58;ita
01/05/2006;Diesel;1,204;0,613;0,591;0,5;ita
01/06/2006;Benzina;1,336;0,786;0,549;0,58;ita
01/06/2006;Diesel;1,197;0,612;0,584;0,51;ita
01/07/2006;Benzina;1,371;0,792;0,578;0,57;ita
01/07/2006;Diesel;1,203;0,613;0,589;0,5;ita
01/08/2006;Benzina;1,374;0,793;0,581;0,57;ita
01/08/2006;Diesel;1,206;0,614;0,592;0,5;ita
01/09/2006;Benzina;1,269;0,775;0,494;0,61;ita
01/09/2006;Diesel;1,168;0,607;0,561;0,52;ita
01/10/2006;Benzina;1,222;0,767;0,454;0,62;ita
01/10/2006;Diesel;1,119;0,601;0,517;0,53;ita
01/11/2006;Benzina;1,219;0,767;0,452;0,62;ita
01/11/2006;Diesel;1,115;0,601;0,513;0,53;ita
01/12/2006;Benzina;1,219;0,767;0,451;0,62;ita
01/12/2006;Diesel;1,113;0,601;0,512;0,54;ita
01/01/2007;Benzina;1,209;0,765;0,444;0,63;ita
01/01/2007;Diesel;1,099;0,599;0,5;0,54;ita
01/02/2007;Benzina;1,202;0,764;0,437;0,63;ita
01/02/2007;Diesel;1,082;0,596;0,486;0,55;ita
01/03/2007;Benzina;1,236;0,77;0,466;0,62;ita
01/03/2007;Diesel;1,105;0,6;0,505;0,54;ita
01/04/2007;Benzina;1,267;0,775;0,491;0,61;ita
01/04/2007;Diesel;1,12;0,602;0,517;0,53;ita
01/05/2007;Benzina;1,315;0,783;0,532;0,59;ita
01/05/2007;Diesel;1,131;0,604;0,526;0,53;ita
01/06/2007;Benzina;1,346;0,788;0,557;0,58;ita
01/06/2007;Diesel;1,15;0,614;0,536;0,53;ita
01/07/2007;Benzina;1,354;0,789;0,564;0,58;ita
01/07/2007;Diesel;1,161;0,616;0,545;0,53;ita
01/08/2007;Benzina;1,315;0,783;0,531;0,59;ita
01/08/2007;Diesel;1,173;0,618;0,554;0,52;ita
01/09/2007;Benzina;1,306;0,781;0,524;0,59;ita
01/09/2007;Diesel;1,18;0,619;0,56;0,52;ita
01/10/2007;Benzina;1,313;0,782;0,53;0,59;ita
01/10/2007;Diesel;1,205;0,623;0,581;0,51;ita
01/11/2007;Benzina;1,347;0,788;0,559;0,58;ita
01/11/2007;Diesel;1,252;0,631;0,62;0,5;ita
01/12/2007;Benzina;1,36;0,79;0,57;0,58;ita
01/12/2007;Diesel;1,286;0,637;0,648;0,49;ita
01/01/2008;Benzina;1,364;0,791;0,573;0,58;ita
01/01/2008;Diesel;1,277;0,635;0,641;0,49;ita
01/02/2008;Benzina;1,361;0,79;0,57;0,58;ita
01/02/2008;Diesel;1,271;0,634;0,636;0,49;ita
01/03/2008;Benzina;1,386;0,794;0,591;0,57;ita
01/03/2008;Diesel;1,332;0,644;0,687;0,48;ita
01/04/2008;Benzina;1,374;0,776;0,598;0,56;ita
01/04/2008;Diesel;1,345;0,63;0,715;0,46;ita
01/05/2008;Benzina;1,455;0,804;0,65;0,55;ita
01/05/2008;Diesel;1,443;0,661;0,781;0,45;ita
01/06/2008;Benzina;1,512;0,816;0,696;0,53;ita
01/06/2008;Diesel;1,507;0,674;0,833;0,44;ita
01/07/2008;Benzina;1,522;0,817;0,704;0,53;ita
01/07/2008;Diesel;1,518;0,676;0,842;0,44;ita
01/08/2008;Benzina;1,458;0,807;0,651;0,55;ita
01/08/2008;Diesel;1,436;0,662;0,774;0,46;ita
01/09/2008;Benzina;1,435;0,803;0,632;0,55;ita
01/09/2008;Diesel;1,383;0,653;0,73;0,47;ita
01/10/2008;Benzina;1,346;0,788;0,557;0,58;ita
01/10/2008;Diesel;1,301;0,639;0,661;0,49;ita
01/11/2008;Benzina;1,211;0,765;0,445;0,63;ita
01/11/2008;Diesel;1,194;0,622;0,572;0,52;ita
01/12/2008;Benzina;1,12;0,75;0,37;0,66;ita
01/12/2008;Diesel;1,092;0,605;0,487;0,55;ita
01/01/2009;Benzina;1,113;0,749;0,364;0,67;ita
01/01/2009;Diesel;1,051;0,598;0,453;0,56;ita
01/02/2009;Benzina;1,14;0,754;0,386;0,66;ita
01/02/2009;Diesel;1,056;0,599;0,457;0,56;ita
01/03/2009;Benzina;1,162;0,757;0,404;0,65;ita
01/03/2009;Diesel;1,022;0,593;0,429;0,58;ita
01/04/2009;Benzina;1,185;0,761;0,423;0,64;ita
01/04/2009;Diesel;1,041;0,596;0,444;0,57;ita
01/05/2009;Benzina;1,224;0,768;0,456;0,62;ita
01/05/2009;Diesel;1,061;0,599;0,461;0,56;ita
01/06/2009;Benzina;1,294;0,779;0,515;0,6;ita
01/06/2009;Diesel;1,096;0,605;0,49;0,55;ita
01/07/2009;Benzina;1,27;0,775;0,494;0,61;ita
01/07/2009;Diesel;1,086;0,604;0,482;0,55;ita
01/08/2009;Benzina;1,295;0,779;0,515;0,6;ita
01/08/2009;Diesel;1,117;0,609;0,508;0,54;ita
01/09/2009;Benzina;1,271;0,775;0,495;0,61;ita
01/09/2009;Diesel;1,096;0,605;0,49;0,55;ita
01/10/2009;Benzina;1,256;0,773;0,482;0,61;ita
01/10/2009;Diesel;1,095;0,605;0,49;0,55;ita
01/11/2009;Benzina;1,289;0,778;0,51;0,6;ita
01/11/2009;Diesel;1,126;0,61;0,515;0,54;ita
01/12/2009;Benzina;1,273;0,776;0,497;0,6;ita
01/12/2009;Diesel;1,114;0,608;0,505;0,54;ita
01/01/2010;Benzina;1,305;0,781;0,523;0,59;ita
01/01/2010;Diesel;1,145;0,613;0,531;0,53;ita
01/02/2010;Benzina;1,312;0,782;0,53;0,59;ita
01/02/2010;Diesel;1,142;0,613;0,528;0,53;ita
01/03/2010;Benzina;1,358;0,79;0,567;0,58;ita
01/03/2010;Diesel;1,189;0,621;0,568;0,52;ita
01/04/2010;Benzina;1,386;0,795;0,591;0,57;ita
01/04/2010;Diesel;1,215;0,625;0,59;0,51;ita
01/05/2010;Benzina;1,391;0,795;0,595;0,57;ita
01/05/2010;Diesel;1,241;0,629;0,611;0,5;ita
01/06/2010;Benzina;1,377;0,793;0,583;0,57;ita
01/06/2010;Diesel;1,236;0,629;0,607;0,5;ita
01/07/2010;Benzina;1,371;0,792;0,579;0,57;ita
01/07/2010;Diesel;1,215;0,625;0,589;0,51;ita
01/08/2010;Benzina;1,362;0,791;0,571;0,58;ita
01/08/2010;Diesel;1,211;0,624;0,586;0,51;ita
01/09/2010;Benzina;1,355;0,789;0,565;0,58;ita
01/09/2010;Diesel;1,217;0,625;0,591;0,51;ita
01/10/2010;Benzina;1,351;0,789;0,562;0,58;ita
01/10/2010;Diesel;1,221;0,626;0,594;0,51;ita
01/11/2010;Benzina;1,369;0,792;0,577;0,57;ita
01/11/2010;Diesel;1,242;0,63;0,612;0,5;ita
01/12/2010;Benzina;1,411;0,799;0,612;0,56;ita
01/12/2010;Diesel;1,286;0,637;0,648;0,49;ita
01/01/2011;Benzina;1,452;0,806;0,646;0,55;ita
01/01/2011;Diesel;1,328;0,644;0,683;0,48;ita
01/02/2011;Benzina;1,469;0,808;0,66;0,55;ita
01/02/2011;Diesel;1,351;0,648;0,703;0,47;ita
01/03/2011;Benzina;1,523;0,817;0,705;0,53;ita
01/03/2011;Diesel;1,416;0,659;0,757;0,46;ita
01/04/2011;Benzina;1,542;0,825;0,716;0,53;ita
01/04/2011;Diesel;1,448;0,669;0,778;0,46;ita
01/05/2011;Benzina;1,548;0,829;0,719;0,53;ita
01/05/2011;Diesel;1,423;0,667;0,755;0,46;ita
01/06/2011;Benzina;1,529;0,826;0,703;0,54;ita
01/06/2011;Diesel;1,402;0,664;0,738;0,47;ita
01/07/2011;Benzina;1,576;0,875;0,7;0,55;ita
01/07/2011;Diesel;1,45;0,713;0,736;0,49;ita
01/08/2011;Benzina;1,586;0,877;0,708;0,55;ita
01/08/2011;Diesel;1,461;0,715;0,745;0,48;ita
01/09/2011;Benzina;1,589;0,882;0,707;0,55;ita
01/09/2011;Diesel;1,465;0,72;0,745;0,49;ita
01/10/2011;Benzina;1,592;0,889;0,702;0,55;ita
01/10/2011;Diesel;1,483;0,729;0,754;0,49;ita
01/11/2011;Benzina;1,591;0,898;0,693;0,56;ita
01/11/2011;Diesel;1,512;0,743;0,769;0,49;ita
01/12/2011;Benzina;1,655;0,975;0,679;0,58;ita
01/12/2011;Diesel;1,631;0,854;0,776;0,52;ita
01/01/2012;Benzina;1,7;0,999;0,701;0,58;ita
01/01/2012;Diesel;1,671;0,883;0,788;0,52;ita
01/02/2012;Benzina;1,737;1,005;0,732;0,57;ita
01/02/2012;Diesel;1,692;0,887;0,805;0,52;ita
01/03/2012;Benzina;1,799;1,016;0,783;0,56;ita
01/03/2012;Diesel;1,724;0,892;0,831;0,51;ita
01/04/2012;Benzina;1,85;1,025;0,824;0,55;ita
01/04/2012;Diesel;1,735;0,894;0,84;0,51;ita
01/05/2012;Benzina;1,805;1,017;0,788;0,56;ita
01/05/2012;Diesel;1,703;0,888;0,814;0,52;ita
01/06/2012;Benzina;1,76;1,023;0,737;0,58;ita
01/06/2012;Diesel;1,657;0,894;0,763;0,53;ita
01/07/2012;Benzina;1,75;1,028;0,722;0,58;ita
01/07/2012;Diesel;1,647;0,899;0,747;0,54;ita
01/08/2012;Benzina;1,818;1,041;0,776;0,57;ita
01/08/2012;Diesel;1,716;0,912;0,804;0,53;ita
01/09/2012;Benzina;1,87;1,053;0,817;0,56;ita
01/09/2012;Diesel;1,764;0,923;0,84;0,52;ita
01/10/2012;Benzina;1,833;1,046;0,787;0,57;ita
01/10/2012;Diesel;1,745;0,92;0,825;0,52;ita
01/11/2012;Benzina;1,759;1,033;0,725;0,58;ita
01/11/2012;Diesel;1,712;0,914;0,798;0,53;ita
01/12/2012;Benzina;1,746;1,031;0,714;0,59;ita
01/12/2012;Diesel;1,701;0,912;0,788;0,53;ita
01/01/2013;Benzina;1,749;1,032;0,717;0,58;ita
01/01/2013;Diesel;1,694;0,911;0,782;0,53;ita
01/02/2013;Benzina;1,781;1,037;0,743;0,58;ita
01/02/2013;Diesel;1,699;0,912;0,787;0,53;ita
01/03/2013;Benzina;1,796;1,04;0,756;0,57;ita
01/03/2013;Diesel;1,693;0,911;0,782;0,53;ita
01/04/2013;Benzina;1,753;1,032;0,721;0,58;ita
01/04/2013;Diesel;1,651;0,903;0,747;0,54;ita
01/05/2013;Benzina;1,716;1,026;0,689;0,59;ita
01/05/2013;Diesel;1,612;0,897;0,715;0,55;ita
01/06/2013;Benzina;1,733;1,029;0,704;0,59;ita
01/06/2013;Diesel;1,626;0,899;0,726;0,55;ita
01/07/2013;Benzina;1,753;1,032;0,72;0,58;ita
01/07/2013;Diesel;1,644;0,902;0,741;0,54;ita
01/08/2013;Benzina;1,767;1,035;0,732;0,58;ita
01/08/2013;Diesel;1,658;0,905;0,752;0,54;ita
01/09/2013;Benzina;1,773;1,036;0,737;0,58;ita
01/09/2013;Diesel;1,676;0,908;0,768;0,54;ita
01/10/2013;Benzina;1,728;1,04;0,688;0,6;ita
01/10/2013;Diesel;1,659;0,916;0,743;0,55;ita
01/11/2013;Benzina;1,703;1,035;0,667;0,6;ita
01/11/2013;Diesel;1,636;0,912;0,724;0,55;ita
01/12/2013;Benzina;1,727;1,039;0,687;0,6;ita
01/12/2013;Diesel;1,656;0,916;0,74;0,55;ita
01/01/2014;Benzina;1,723;1,039;0,683;0,6;ita
01/01/2014;Diesel;1,648;0,914;0,734;0,55;ita
01/02/2014;Benzina;1,714;1,037;0,676;0,6;ita
01/02/2014;Diesel;1,637;0,912;0,725;0,55;ita
01/03/2014;Benzina;1,715;1,04;0,675;0,6;ita
01/03/2014;Diesel;1,631;0,913;0,717;0,56;ita
01/04/2014;Benzina;1,725;1,041;0,683;0,6;ita
01/04/2014;Diesel;1,628;0,913;0,715;0,56;ita
01/05/2014;Benzina;1,737;1,044;0,693;0,6;ita
01/05/2014;Diesel;1,63;0,913;0,716;0,56;ita
01/06/2014;Benzina;1,743;1,045;0,698;0,59;ita
01/06/2014;Diesel;1,632;0,914;0,717;0,56;ita
01/07/2014;Benzina;1,761;1,048;0,712;0,59;ita
01/07/2014;Diesel;1,635;0,914;0,72;0,55;ita
01/08/2014;Benzina;1,749;1,046;0,703;0,59;ita
01/08/2014;Diesel;1,621;0,912;0,709;0,56;ita
01/09/2014;Benzina;1,734;1,043;0,69;0,6;ita
01/09/2014;Diesel;1,614;0,91;0,703;0,56;ita
01/10/2014;Benzina;1,709;1,039;0,67;0,6;ita
01/10/2014;Diesel;1,593;0,907;0,686;0,56;ita
01/11/2014;Benzina;1,652;1,028;0,623;0,62;ita
01/11/2014;Diesel;1,553;0,899;0,653;0,57;ita
01/12/2014;Benzina;1,585;1,016;0,568;0,64;ita
01/12/2014;Diesel;1,493;0,889;0,604;0,59;ita
01/01/2015;Benzina;1,472;0,993;0,478;0,67;ita
01/01/2015;Diesel;1,387;0,867;0,519;0,62;ita
01/02/2015;Benzina;1,489;0,996;0,492;0,66;ita
01/02/2015;Diesel;1,4;0,869;0,53;0,62;ita
01/03/2015;Benzina;1,565;1,01;0,555;0,64;ita
01/03/2015;Diesel;1,462;0,881;0,581;0,6;ita
01/04/2015;Benzina;1,58;1,013;0,567;0,64;ita
01/04/2015;Diesel;1,447;0,878;0,569;0,6;ita
01/05/2015;Benzina;1,614;1,019;0,594;0,63;ita
01/05/2015;Diesel;1,48;0,884;0,595;0,59;ita
01/06/2015;Benzina;1,622;1,021;0,601;0,62;ita
01/06/2015;Diesel;1,477;0,883;0,593;0,59;ita
01/07/2015;Benzina;1,625;1,021;0,603;0,62;ita
01/07/2015;Diesel;1,451;0,879;0,572;0,6;ita
01/08/2015;Benzina;1,567;1,011;0,556;0,64;ita
01/08/2015;Diesel;1,398;0,869;0,529;0,62;ita
01/09/2015;Benzina;1,494;0,997;0,496;0,66;ita
01/09/2015;Diesel;1,36;0,862;0,497;0,63;ita
01/10/2015;Benzina;1,473;0,994;0,479;0,67;ita
01/10/2015;Diesel;1,348;0,86;0,487;0,63;ita
01/11/2015;Benzina;1,457;0,991;0,466;0,68;ita
01/11/2015;Diesel;1,34;0,859;0,481;0,64;ita
01/12/2015;Benzina;1,45;0,99;0,46;0,68;ita
01/12/2015;Diesel;1,308;0,853;0,455;0,65;ita
01/01/2016;Benzina;1,416;0,983;0,432;0,69;ita
01/01/2016;Diesel;1,232;0,839;0,393;0,68;ita
01/02/2016;Benzina;1,378;0,976;0,401;0,7;ita
01/02/2016;Diesel;1,192;0,832;0,359;0,69;ita
01/03/2016;Benzina;1,388;0,978;0,409;0,7;ita
01/03/2016;Diesel;1,225;0,838;0,386;0,68;ita
01/04/2016;Benzina;1,42;0,984;0,436;0,69;ita
01/04/2016;Diesel;1,237;0,84;0,397;0,67;ita
01/05/2016;Benzina;1,452;0,99;0,462;0,68;ita
01/05/2016;Diesel;1,276;0,847;0,428;0,66;ita
01/06/2016;Benzina;1,479;0,995;0,484;0,67;ita
01/06/2016;Diesel;1,319;0,855;0,463;0,64;ita
01/07/2016;Benzina;1,456;0,991;0,465;0,68;ita
01/07/2016;Diesel;1,306;0,853;0,453;0,65;ita
01/08/2016;Benzina;1,433;0,986;0,446;0,68;ita
01/08/2016;Diesel;1,288;0,849;0,438;0,65;ita
01/09/2016;Benzina;1,453;0,99;0,463;0,68;ita
01/09/2016;Diesel;1,3;0,851;0,448;0,65;ita
01/10/2016;Benzina;1,473;0,994;0,479;0,67;ita
01/10/2016;Diesel;1,32;0,855;0,465;0,64;ita
01/11/2016;Benzina;1,475;0,994;0,48;0,67;ita
01/11/2016;Diesel;1,327;0,856;0,47;0,64;ita
01/12/2016;Benzina;1,495;0,998;0,497;0,66;ita
01/12/2016;Diesel;1,351;0,861;0,49;0,63;ita
01/01/2017;Benzina;1,544;1,006;0,537;0,65;ita
01/01/2017;Diesel;1,398;0,869;0,528;0,62;ita
01/02/2017;Benzina;1,549;1,007;0,541;0,65;ita
01/02/2017;Diesel;1,399;0,869;0,53;0,62;ita
01/03/2017;Benzina;1,54;1,006;0,534;0,65;ita
01/03/2017;Diesel;1,393;0,868;0,525;0,62;ita
01/04/2017;Benzina;1,551;1,008;0,543;0,64;ita
01/04/2017;Diesel;1,403;0,87;0,532;0,62;ita
01/05/2017;Benzina;1,528;1,004;0,524;0,65;ita
01/05/2017;Diesel;1,379;0,866;0,513;0,62;ita
01/06/2017;Benzina;1,501;0,999;0,502;0,66;ita
01/06/2017;Diesel;1,352;0,861;0,49;0,63;ita
01/07/2017;Benzina;1,49;0,997;0,493;0,66;ita
01/07/2017;Diesel;1,338;0,858;0,479;0,64;ita
01/08/2017;Benzina;1,499;0,998;0,501;0,66;ita
01/08/2017;Diesel;1,354;0,861;0,492;0,63;ita
01/09/2017;Benzina;1,522;1,002;0,519;0,65;ita
01/09/2017;Diesel;1,373;0,865;0,508;0,62;ita
01/10/2017;Benzina;1,525;1,003;0,521;0,65;ita
01/10/2017;Diesel;1,387;0,867;0,519;0,62;ita
01/11/2017;Benzina;1,543;1,006;0,536;0,65;ita
01/11/2017;Diesel;1,413;0,872;0,54;0,61;ita
01/12/2017;Benzina;1,55;1,007;0,542;0,65;ita
01/12/2017;Diesel;1,421;0,873;0,547;0,61;ita
01/01/2018;Benzina;1,568;1,011;0,557;0,64;ita
01/01/2018;Diesel;1,443;0,877;0,565;0,6;ita
01/02/2018;Benzina;1,558;1,009;0,548;0,64;ita
01/02/2018;Diesel;1,431;0,875;0,555;0,61;ita
01/03/2018;Benzina;1,547;1,007;0,54;0,65;ita
01/03/2018;Diesel;1,423;0,874;0,549;0,61;ita
01/04/2018;Benzina;1,569;1,011;0,558;0,64;ita
01/04/2018;Diesel;1,446;0,878;0,568;0,6;ita
01/05/2018;Benzina;1,621;1,02;0,6;0,62;ita
01/05/2018;Diesel;1,499;0,887;0,611;0,59;ita
01/06/2018;Benzina;1,641;1,024;0,617;0,62;ita
01/06/2018;Diesel;1,521;0,891;0,629;0,58;ita
01/07/2018;Benzina;1,63;1,022;0,608;0,62;ita
01/07/2018;Diesel;1,508;0,889;0,619;0,58;ita
01/08/2018;Benzina;1,629;1,022;0,607;0,62;ita
01/08/2018;Diesel;1,507;0,889;0,617;0,58;ita
01/09/2018;Benzina;1,642;1,024;0,617;0,62;ita
01/09/2018;Diesel;1,524;0,892;0,632;0,58;ita
01/10/2018;Benzina;1,658;1,027;0,631;0,61;ita
01/10/2018;Diesel;1,561;0,899;0,662;0,57;ita
01/11/2018;Benzina;1,612;1,019;0,593;0,63;ita
01/11/2018;Diesel;1,537;0,894;0,642;0,58;ita
01/12/2018;Benzina;1,509;1;0,508;0,66;ita
01/12/2018;Diesel;1,451;0,879;0,572;0,6;ita
01/01/2019;Benzina;1,49;0,997;0,493;0,66;ita
01/01/2019;Diesel;1,434;0,876;0,558;0,61;ita
01/02/2019;Benzina;1,521;1,002;0,518;0,65;ita
01/02/2019;Diesel;1,465;0,881;0,583;0,6;ita
01/03/2019;Benzina;1,558;1,009;0,548;0,64;ita
01/03/2019;Diesel;1,495;0,887;0,608;0,59;ita
01/04/2019;Benzina;1,609;1,018;0,591;0,63;ita
01/04/2019;Diesel;1,509;0,889;0,62;0,58;ita
01/05/2019;Benzina;1,626;1,021;0,604;0,62;ita
01/05/2019;Diesel;1,519;0,891;0,627;0,58;ita
01/06/2019;Benzina;1,596;1,016;0,58;0,63;ita
01/06/2019;Diesel;1,487;0,885;0,602;0,59;ita
01/07/2019;Benzina;1,594;1,015;0,578;0,63;ita
01/07/2019;Diesel;1,482;0,884;0,597;0,59;ita
01/08/2019;Benzina;1,574;1,012;0,562;0,64;ita
01/08/2019;Diesel;1,462;0,881;0,58;0,6;ita
01/09/2019;Benzina;1,579;1,013;0,565;0,64;ita
01/09/2019;Diesel;1,471;0,882;0,588;0,59;ita
01/10/2019;Benzina;1,576;1,012;0,564;0,64;ita
01/10/2019;Diesel;1,471;0,882;0,589;0,59;ita
01/11/2019;Benzina;1,575;1,012;0,563;0,64;ita
01/11/2019;Diesel;1,471;0,882;0,588;0,59;ita
01/12/2019;Benzina;1,584;1,014;0,57;0,63;ita
01/12/2019;Diesel;1,482;0,884;0,597;0,59;ita
01/01/2020;Benzina;1,586;1,014;0,571;0,63;ita
01/01/2020;Diesel;1,485;0,885;0,599;0,59;ita
01/02/2020;Benzina;1,548;1,007;0,541;0,65;ita
01/02/2020;Diesel;1,443;0,877;0,565;0,6;ita
01/03/2020;Benzina;1,486;0,996;0,49;0,67;ita
01/03/2020;Diesel;1,378;0,865;0,512;0,62;ita
01/04/2020;Benzina;1,408;0,982;0,426;0,69;ita
01/04/2020;Diesel;1,302;0,852;0,45;0,65;ita
01/05/2020;Benzina;1,365;0,974;0,39;0,71;ita
01/05/2020;Diesel;1,255;0,843;0,411;0,67;ita
01/06/2020;Benzina;1,384;0,978;0,406;0,7;ita
01/06/2020;Diesel;1,272;0,846;0,425;0,66;ita
01/07/2020;Benzina;1,403;0,981;0,421;0,69;ita
01/07/2020;Diesel;1,289;0,849;0,439;0,65;ita
01/08/2020;Benzina;1,399;0,98;0,418;0,7;ita
01/08/2020;Diesel;1,285;0,849;0,435;0,66;ita
01/09/2020;Benzina;1,391;0,979;0,412;0,7;ita
01/09/2020;Diesel;1,27;0,846;0,424;0,66;ita
01/10/2020;Benzina;1,387;0,978;0,408;0,7;ita
01/10/2020;Diesel;1,259;0,844;0,414;0,67;ita
01/11/2020;Benzina;1,39;0,979;0,411;0,7;ita
01/11/2020;Diesel;1,261;0,844;0,416;0,66;ita
01/12/2020;Benzina;1,423;0,985;0,438;0,69;ita
01/12/2020;Diesel;1,3;0,851;0,448;0,65;ita
01/01/2021;Benzina;1,465;0,992;0,472;0,67;ita
01/01/2021;Diesel;1,338;0,858;0,479;0,64;ita
01/02/2021;Benzina;1,511;1;0,51;0,66;ita
01/02/2021;Diesel;1,383;0,866;0,516;0,62;ita
01/03/2021;Benzina;1,568;1,011;0,556;0,64;ita
01/03/2021;Diesel;1,435;0,876;0,559;0,61;ita
01/04/2021;Benzina;1,575;1,012;0,563;0,64;ita
01/04/2021;Diesel;1,436;0,876;0,56;0,61;ita
01/05/2021;Benzina;1,59;1,015;0,575;0,63;ita
01/05/2021;Diesel;1,449;0,878;0,57;0,6;ita
01/06/2021;Benzina;1,613;1,019;0,594;0,63;ita
01/06/2021;Diesel;1,473;0,883;0,59;0,59;ita
01/07/2021;Benzina;1,65;1,026;0,624;0,62;ita
01/07/2021;Diesel;1,508;0,889;0,618;0,58;ita
01/08/2021;Benzina;1,654;1,026;0,627;0,62;ita
01/08/2021;Diesel;1,505;0,888;0,616;0,59;ita
01/09/2021;Benzina;1,669;1,029;0,64;0,61;ita
01/09/2021;Diesel;1,517;0,891;0,626;0,58;ita
01/10/2021;Benzina;1,73;1,04;0,69;0,6;ita
01/10/2021;Diesel;1,589;0,904;0,685;0,56;ita
01/11/2021;Benzina;1,746;1,043;0,703;0,59;ita
01/11/2021;Diesel;1,61;0,907;0,702;0,56;ita
01/12/2021;Benzina;1,724;1,039;0,684;0,6;ita
01/12/2021;Diesel;1,589;0,903;0,685;0,56;ita
01/01/2022;Benzina;1,764;1,046;0,718;0,59;ita
01/01/2022;Diesel;1,632;0,911;0,72;0,55;ita
01/02/2022;Benzina;1,848;1,061;0,786;0,57;ita
01/02/2022;Diesel;1,72;0,927;0,792;0,53;ita
